"Date","Weekly_Sales","Holiday_Flag","Temperature","Fuel_Price","CPI","Unemployment"
"10-12-2010","1682614.26",0,"46.33",2843,"211.4659526",7838
"17-12-2010","1891034.93",0,"49.84",2869,"211.4053124",7838
"24-12-2010","2387950.2",0,"52.33",2886,"211.4051222",7838
"31-12-2010","1367320.01",1,"48.43",2943,"211.4049321",7838
"07-01-2011","1444732.28",0,"48.27",2976,"211.4047419",7742
"14-01-2011","1391013.96",0,"35.4",2983,"211.4574109",7742
"21-01-2011","1327405.42",0,"44.04",3016,"211.8272343",7742
"28-01-2011","1316899.31",0,"43.83","3.01","212.1970577",7742
"04-02-2011","1606629.58",0,"42.27",2989,"212.5668812",7742
"11-02-2011","1649614.93",1,"36.39",3022,"212.9367046",7742
"18-02-2011","1686842.78",0,"57.36",3045,"213.2478853",7742
"25-02-2011","1456800.28",0,"62.9",3065,"213.535609",7742
"04-03-2011","1636263.41",0,"59.58",3288,"213.8233327",7742
"11-03-2011","1553191.63",0,"53.56",3459,"214.1110564",7742
"18-03-2011","1576818.06",0,"62.76",3488,"214.3627114",7742
"25-03-2011","1541102.38",0,"69.97",3473,"214.5999389",7742
"01-04-2011","1495064.75",0,"59.17",3524,"214.8371664",7682
"08-04-2011","1614259.35",0,"67.84",3622,"215.0743939",7682
"15-04-2011",1559889,0,"71.27",3743,"215.2918561",7682
"22-04-2011","1564819.81",0,"72.99",3807,"215.4599053",7682
"29-04-2011","1455090.69",0,"72.03","3.81","215.6279544",7682
"06-05-2011","1629391.28",0,"64.61",3906,"215.7960035",7682
"13-05-2011","1604775.58",0,"75.64",3899,"215.9640526",7682
"20-05-2011","1428218.27",0,"67.63",3907,"215.7339202",7682
"27-05-2011","1466046.67",0,"77.72",3786,"215.5037878",7682
"03-06-2011","1635078.41",0,83,3699,"215.2736553",7682
"10-06-2011","1588948.32",0,"83.13",3648,"215.0435229",7682
"17-06-2011","1532114.86",0,"86.41",3637,"214.9980596",7682
"24-06-2011","1438830.15",0,"83.58",3594,"215.0910982",7682
"01-07-2011","1488538.09",0,"85.55",3524,"215.1841368",7962
"08-07-2011","1534849.64",0,"85.83","3.48","215.2771754",7962
"15-07-2011","1455119.97",0,"88.54",3575,"215.3611087",7962
"22-07-2011","1396926.82",0,"85.77",3651,"215.4222784",7962
"29-07-2011","1352219.79",0,"86.83",3682,"215.4834482",7962
"05-08-2011","1624383.75",0,"91.65",3684,"215.544618",7962
"12-08-2011","1525147.09",0,"90.76",3638,"215.6057878",7962
"19-08-2011","1530761.43",0,"89.94",3554,"215.6693107",7962
"26-08-2011","1464693.46",0,"87.96",3523,"215.7332258",7962
"02-09-2011","1550229.22",0,"87.83",3533,"215.7971409",7962
"09-09-2011","1540471.24",1,76,3546,"215.861056",7962
"16-09-2011","1514259.78",0,"79.94",3526,"216.0410526",7962
"23-09-2011","1380020.27",0,"75.8",3467,"216.3758246",7962
"30-09-2011","1394561.83",0,"79.69",3355,"216.7105965",7962
"07-10-2011","1630989.95",0,"69.31",3285,"217.0453684",7866
"14-10-2011","1493525.93",0,"71.74",3274,"217.3552733",7866
"21-10-2011","1502562.78",0,"63.71",3353,"217.5159762",7866
"28-10-2011","1445249.09",0,"66.57",3372,"217.6766791",7866
"04-11-2011","1697229.58",0,"54.98",3332,"217.837382",7866
"11-11-2011","1594938.89",0,"59.11",3297,"217.9980849",7866
"18-11-2011","1539483.7",0,"62.25",3308,"218.2205088",7866
"25-11-2011","2033320.66",1,"60.14",3236,"218.4676211",7866
"02-12-2011","1584083.95",0,"48.91",3172,"218.7147333",7866
"09-12-2011","1799682.38",0,"43.93",3158,"218.9618456",7866
"16-12-2011","1881176.67",0,"51.63",3159,"219.1794533",7866
"23-12-2011","2270188.99",0,"47.96",3112,"219.3577216",7866
"30-12-2011","1497462.72",1,"44.55",3129,"219.5359898",7866
"06-01-2012","1550369.92",0,"49.01",3157,"219.7142581",7348
"13-01-2012","1459601.17",0,"48.53",3261,"219.8925263",7348
"20-01-2012","1394393.84",0,"54.11",3268,"219.9856893",7348
"27-01-2012","1319325.59",0,"54.26","3.29","220.0788523",7348
"03-02-2012","1636339.65",0,"56.55","3.36","220.1720153",7348
"10-02-2012","1802477.43",1,"48.02",3409,"220.2651783",7348
"17-02-2012",1819870,0,"45.32","3.51","220.4257586",7348
"24-02-2012","1539387.83",0,"57.25",3555,"220.636902",7348
"02-03-2012","1688420.76",0,"60.96","3.63","220.8480454",7348
"09-03-2012","1675431.16",0,"58.76",3669,"221.0591887",7348
"16-03-2012","1677472.78",0,"64.74",3734,"221.2118132",7348
"23-03-2012","1511068.07",0,"65.93",3787,"221.2864126",7348
"30-03-2012","1649604.63",0,"67.61",3845,"221.3610119",7348
"06-04-2012","1899676.88",0,"70.43",3891,"221.4356112",7143
"13-04-2012","1621031.7",0,"69.07",3891,"221.5102105",7143
"20-04-2012","1521577.87",0,"66.76",3877,"221.5640737",7143
"27-04-2012","1468928.37",0,"67.23",3814,"221.6179368",7143
"04-05-2012","1684519.99",0,"75.55",3749,"221.6718",7143
"11-05-2012","1611096.05",0,"73.77",3688,"221.7256632",7143
"18-05-2012","1595901.87",0,"70.33","3.63","221.742674",7143
"25-05-2012","1555444.55",0,"77.22",3561,"221.744944",7143
"01-06-2012","1624477.58",0,"77.95",3501,"221.7472139",7143
"08-06-2012","1697230.96",0,"78.3",3452,"221.7494839",7143
"15-06-2012",1630607,0,"79.35",3393,"221.7626421",7143
"22-06-2012","1527845.81",0,"78.39",3346,"221.8030211",7143
"29-06-2012","1540421.49",0,"84.88",3286,"221.8434",7143
"06-07-2012","1769854.16",0,"81.57",3227,"221.8837789",6908
"13-07-2012","1527014.04",0,"77.12",3256,"221.9241579",6908
"20-07-2012","1497954.76",0,"80.42",3311,"221.9327267",6908
"27-07-2012","1439123.71",0,"82.66",3407,"221.9412954",6908
"03-08-2012","1631135.79",0,"86.11",3417,"221.9498642",6908
"10-08-2012","1592409.97",0,"85.05",3494,"221.9584329",6908
"17-08-2012","1597868.05",0,"84.85",3571,"222.0384109",6908
"24-08-2012","1494122.38",0,"77.66","3.62","222.1719457",6908
"31-08-2012","1582083.4",0,"80.49",3638,"222.3054805",6908
"07-09-2012","1661767.33",1,"83.96","3.73","222.4390153",6908
"14-09-2012","1517428.87",0,"74.97",3717,"222.5820193",6908
"21-09-2012","1506126.06",0,"69.87",3721,"222.7818386",6908
"28-09-2012","1437059.26",0,"76.08",3666,"222.9816579",6908
"05-10-2012","1670785.97",0,"68.55",3617,"223.1814772",6573
"12-10-2012","1573072.81",0,"62.99",3601,"223.3812965",6573
"19-10-2012","1508068.77",0,"67.97",3594,"223.4257233",6573
"26-10-2012","1493659.74",0,"69.16",3506,"223.4442513",6573
