Ano,Mes,Tipo de Midia,Gastos com Publicidade (em R$),Previsao Inicial de Aumento de Vendas (em mil unidades)
2024,5,TV,326592,2303
2024,5,Jornal,183120,1354
2024,5,Revista,98560,898
2024,5,Radio,136752,1253
2024,6,Instagram,184800,5040
2024,6,Google,132600,4284
2024,6,Paginas web,142464,2260
2024,6,Redes sociais,211680,1837
2024,6,TV,260176,1647
2024,6,Jornal,"142105,6",1044
2024,6,Revista,77616,674
2024,6,Radio,"103286,4",824
2024,7,Instagram,176550,4815
2024,7,Google,140400,4536
2024,7,Paginas web,231952,3418
2024,7,Redes sociais,308000,2951
2024,7,TV,335664,2924
2024,7,Jornal,213248,2529
2024,7,Revista,145152,1638
2024,7,Radio,134288,1504
